Date : 2025-03-26 00:03:26
Directory : /home/alberic/Documents/Cours/ramio_project
Total : 299 files,  20707 codes, 1776 comments, 1283 blanks, all 23766 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| /home/alberic/Documents/Cours/ramio_project/html/search/variables_14.html                  | HTML       |         21 |          9 |          1 |         31 |
| /home/alberic/Documents/Cours/ramio_project/html/search/variables_14.js                    | JavaScript |          5 |          0 |          1 |          6 |
| /home/alberic/Documents/Cours/ramio_project/html/search/variables_2.html                   | HTML       |         21 |          9 |          1 |         31 |
| /home/alberic/Documents/Cours/ramio_project/html/search/variables_3.html                   | HTML       |         21 |          9 |          1 |         31 |
| /home/alberic/Documents/Cours/ramio_project/html/search/variables_4.html                   | HTML       |         21 |          9 |          1 |         31 |
| /home/alberic/Documents/Cours/ramio_project/html/search/variables_5.html                   | HTML       |         21 |          9 |          1 |         31 |
| /home/alberic/Documents/Cours/ramio_project/html/search/variables_6.html                   | HTML       |         21 |          9 |          1 |         31 |
| /home/alberic/Documents/Cours/ramio_project/html/search/variables_7.html                   | HTML       |         21 |          9 |          1 |         31 |
| /home/alberic/Documents/Cours/ramio_project/html/search/variables_7.js                     | JavaScript |          1 |          0 |          0 |          1 |
| /home/alberic/Documents/Cours/ramio_project/html/search/variables_8.html                   | HTML       |         21 |          9 |          1 |         31 |
| /home/alberic/Documents/Cours/ramio_project/html/search/variables_8.js                     | JavaScript |          1 |          0 |          0 |          1 |
| /home/alberic/Documents/Cours/ramio_project/html/search/variables_9.html                   | HTML       |         21 |          9 |          1 |         31 |
| /home/alberic/Documents/Cours/ramio_project/html/search/variables_a.html                   | HTML       |         21 |          9 |          1 |         31 |
| /home/alberic/Documents/Cours/ramio_project/html/search/variables_a.js                     | JavaScript |         -1 |          0 |          0 |         -1 |
| /home/alberic/Documents/Cours/ramio_project/html/search/variables_b.html                   | HTML       |         21 |          9 |          1 |         31 |
| /home/alberic/Documents/Cours/ramio_project/html/search/variables_c.html                   | HTML       |         21 |          9 |          1 |         31 |
| /home/alberic/Documents/Cours/ramio_project/html/search/variables_d.html                   | HTML       |         21 |          9 |          1 |         31 |
| /home/alberic/Documents/Cours/ramio_project/html/search/variables_e.html                   | HTML       |         21 |          9 |          1 |         31 |
| /home/alberic/Documents/Cours/ramio_project/html/search/variables_e.js                     | JavaScript |         -6 |          0 |          0 |         -6 |
| /home/alberic/Documents/Cours/ramio_project/html/search/variables_f.html                   | HTML       |         21 |          9 |          1 |         31 |
| /home/alberic/Documents/Cours/ramio_project/html/search/variables_f.js                     | JavaScript |        -10 |          0 |          0 |        -10 |
| /home/alberic/Documents/Cours/ramio_project/html/structMenu_1_1MenuOption-members.html     | HTML       |         77 |          5 |          4 |         86 |
| /home/alberic/Documents/Cours/ramio_project/html/tabs.css                                  | CSS        |          1 |          0 |          1 |          2 |
| /home/alberic/Documents/Cours/ramio_project/html/tests_8cpp.html                           | HTML       |          1 |          0 |          0 |          1 |
| /home/alberic/Documents/Cours/ramio_project/include/Bloc.h                                 | C++        |          9 |         -1 |          3 |         11 |
| /home/alberic/Documents/Cours/ramio_project/include/Level.h                                | C++        |          2 |          0 |          1 |          3 |
| /home/alberic/Documents/Cours/ramio_project/include/Player.h                               | C++        |          4 |          0 |          0 |          4 |
| /home/alberic/Documents/Cours/ramio_project/latex/Animation_8cpp.tex                       | LaTeX      |          1 |          0 |          0 |          1 |
